"Rank","Name","Domestic_Box_Office","Movies","Average"
219,"Blake Edwards",435890593,27,16144096
220,"Harold Ramis",434939308,11,39539937
221,"Anna Boden",434405930,5,86881186
222,"Jason Reitman",432736986,10,43273699
223,"Seth Gordon",430926630,6,71821105
224,"Taylor Hackford",430124094,15,28674940
225,"Clyde Geronimi",428464608,7,61209230
226,"David Dobkin",427851530,7,61121647
227,"Spike Lee",426229457,32,13319671
228,"Tim Miller",425323786,2,212661893
229,"Sean Anders",421528748,8,52691094
230,"Robert Luketic",420928021,8,52616003
231,"Hamilton Luske",418300000,7,59757143
232,"Martin Brest",417707236,6,69617873
233,"Jeff Tremaine",414037186,11,37639744
234,"Tim Hill",413524875,8,51690609
235,"Wes Ball",413287662,6,68881277
236,"Irvin Kershner",411820133,4,102955033
237,"Andy Fickman",410222746,13,31555596
238,"Brad Peyton",408464882,9,45384987
239,"Curtis Hanson",406721391,11,36974672
240,"Penny Marshall",401784154,8,50223019
241,"Kevin Lima",401076694,6,66846116
242,"Kirk Wise",400574664,5,80114933
243,"Arthur Hiller",400475303,18,22248628
244,"Keenen Ivory Wayans",398430178,6,66405030
245,"Bilall Fallah",398001572,6,66333595
246,"Adil El Arbi",398001572,6,66333595
247,"Jonathan Liebesman",397945029,4,99486257
248,"Walter Hill",395212161,23,17183137
249,"Chuck Russell",394405206,10,39440521
250,"Alan J. Pakula",394107305,14,28150522
251,"Mel Brooks",393482222,10,39348222
252,"Jonathan Demme",391616733,24,16317364
253,"Joe Dante",391539681,17,23031746
254,"James L. Brooks",390616956,7,55802422
255,"Gary Trousdale",390524778,4,97631195
256,"David F. Sandberg",387478118,7,55354017
257,"Joaquim Dos Santos",381593754,2,190796877
258,"Kemp Powers",381593754,1,381593754
259,"Justin K. Thompson",381593754,2,190796877
260,"Richard Marquand",378636262,4,94659066
261,"Anne Fletcher",377809222,7,53972746
262,"David Frankel",374827551,10,37482755
263,"Danny Boyle",374183701,16,23386481
264,"Greg MacGillivray",371881880,12,30990157
265,"Robert Wise",370512177,18,20584010
266,"Randal Kleiser",370020495,10,37002050
267,"Leonard Nimoy",367571751,6,61261959
