"X","title","release_date","title_clean","title_clean_match"
61,"Ruby Gillman, Teenage Kraken","2023-06-29","ruby gillman teenage kraken","ruby gillman teenage kraken"
62,"Insidious: The Red Door","2023-07-06","insidious the red door","insidious the red door"
63,"Black Demon, The","2023-07-06","the black demon","the black demon"
64,"One True Loves","2023-07-06","one true loves","one true loves"
65,"Mission: Impossible - Dead Reckoning Part One","2023-07-12","mission impossible dead reckoning part one","mission impossible dead reckoning part one"
66,"Elemental","2023-07-13","elemental","elemental"
67,"Barbie","2023-07-20","barbie","barbie"
68,"Oppenheimer","2023-07-20","oppenheimer","oppenheimer"
69,"Haunted Mansion","2023-07-27","haunted mansion","haunted mansion"
70,"Cobweb","2023-07-27","cobweb","cobweb"
71,"Meg 2: The Trench","2023-08-03","meg 2 the trench","meg 2 the trench"
72,"Gran Turismo: Based on a True Story","2023-08-10","gran turismo based on a true story","gran turismo based on a true story"
73,"Teenage Mutant Ninja Turtles: Mutant Mayhem","2023-08-10","teenage mutant ninja turtles mutant mayhem","teenage mutant ninja turtles mutant mayhem"
74,"Last Voyage of the Demeter, The","2023-08-10","the last voyage of the demeter","the last voyage of the demeter"
75,"See You on Venus","2023-08-10","see you on venus","see you on venus"
76,"Blue Beetle","2023-08-17","blue beetle","blue beetle"
77,"Strays","2023-08-17","strays","strays"
78,"Equalizer 3, The","2023-08-31","the equalizer 3","the equalizer 3"
79,"Good Person, A","2023-08-31","a good person","a good person"
80,"Nun II, The","2023-09-07","the nun ii","the nun ii"
81,"Retribution","2023-09-07","retribution","retribution"
82,"After Everything (Event)","2023-09-13","after everything event","after everything event"
83,"Haunting in Venice, A","2023-09-14","a haunting in venice","a haunting in venice"
84,"Expend4bles","2023-09-21","expend4bles","expend4bles"
85,"Dumb Money","2023-09-21","dumb money","dumb money"
86,"Paw Patrol: The Mighty Movie","2023-09-28","paw patrol the mighty movie","paw patrol the mighty movie"
87,"Creator, The","2023-09-28","the creator","the creator"
88,"Blood","2023-09-28","blood","blood"
89,"Exorcist: Believer, The","2023-10-05","the exorcist believer","the exorcist believer"
90,"To Catch a Killer","2023-10-05","misanthrope","misanthrope"
91,"57 Seconds","2023-10-12","57 seconds","57 seconds"
92,"TAYLOR SWIFT THE ERAS TOUR","2023-10-13","taylor swift the eras tour","taylor swift the eras tour"
93,"Killers of the Flower Moon","2023-10-19","killers of the flower moon","killers of the flower moon"
94,"Perpetrator","2023-10-19","perpetrator","perpetrator"
95,"NYAD","2023-10-19","nyad","nyad"
96,"Trolls Band Together","2023-10-26","trolls band together","trolls band together"
97,"Saw X","2023-10-26","saw x","saw x"
98,"Killer, The (2023)","2023-10-26","killer the","killer the"
99,"Five Nights at Freddy's","2023-11-01","five nights at freddys","five nights at freddys"
100,"Kandahar","2023-11-01","kandahar","kandahar"
101,"Marsh King's Daughter, The","2023-11-01","the marsh kings daughter","the marsh kings daughter"
102,"She Came to Me","2023-11-01","she came to me","she came to me"
103,"Marvels, The","2023-11-09","the marvels","the marvels"
104,"It Lives Inside","2023-11-09","it lives inside","it lives inside"
105,"Hunger Games: The Ballad of Songbirds & Snakes, The","2023-11-16","the hunger games the ballad of songbirds and snakes","the hunger games the ballad of songbirds and snakes"
106,"Freelance","2023-11-16","freelance","freelance"
107,"Master Gardener","2023-11-16","master gardener","master gardener"
108,"Wish","2023-11-23","wish","wish"
109,"Napoleon","2023-11-23","napoleon","napoleon"
110,"Thanksgiving","2023-11-30","thanksgiving","thanksgiving"
111,"May December","2023-11-30","may december","may december"
112,"RENAISSANCE: A FILM BY BEYONCE","2023-12-01","renaissance a film by beyonce","renaissance a film by beyonce"
113,"Wonka","2023-12-07","wonka","wonka"
114,"Hypnotic","2023-12-07","hypnotic","hypnotic"
115,"Maestro","2023-12-07","maestro","maestro"
116,"Migration","2023-12-14","migration","migration"
117,"Silent Night","2023-12-14","silent night","silent night"
118,"All Fun and Games","2023-12-14","all fun and games","all fun and games"
119,"Fool's Paradise","2023-12-14","fools paradise","fools paradise"
120,"Aquaman and the Lost Kingdom","2023-12-21","aquaman and the lost kingdom","aquaman and the lost kingdom"
121,"Sound of Freedom","2023-12-21","sound of freedom","sound of freedom"
122,"It's a Wonderful Knife","2023-12-21","its a wonderful knife","its a wonderful knife"
123,"Anyone But You","2023-12-28","anyone but you","anyone but you"
124,"Next Goal Wins","2023-12-28","next goal wins","next goal wins"
1,"Ferrari","2024-01-04","ferrari","ferrari"
2,"Night Swim","2024-01-04","night swim","night swim"
3,"Mean Girls","2024-01-11","mean girls","mean girls"
4,"Beekeeper, The","2024-01-18","the beekeeper","the beekeeper"
5,"White Bird","2024-01-18","white bird","white bird"
6,"Poor Things","2024-01-25","poor things","poor things"
7,"Beautiful Wedding","2024-01-25","beautiful wedding","beautiful wedding"
8,"Kill Room, The","2024-01-25","the kill room","the kill room"
9,"Retirement Plan, The","2024-01-25","the retirement plan","the retirement plan"
10,"On Fire","2024-01-25","on fire","on fire"
11,"Argylle","2024-02-01","argylle","argylle"
12,"Supercell","2024-02-01","supercell","supercell"
13,"Past Lives","2024-02-08","past lives","past lives"
14,"Color Purple, The","2024-02-08","the color purple","the color purple"
15,"Consecration","2024-02-08","consecration","consecration"
