"Rank","Name","Worldwide_Box_Office","Movies","Average"
204,"Helena Bonham Carter",2504751050,31,80798421
205,"Kevin Kline",2500033546,22,113637888
206,"Laurence Fishburne",2483499325,28,88696404
207,"Jennifer Aniston",2473437434,31,79788304
208,"Salma Hayek",2465297805,27,91307326
209,"Alec Baldwin",2457626033,33,74473516
210,"Al Pacino",2454774618,46,53364666
211,"Clint Eastwood",2450417581,48,51050366
212,"Hailee Steinfeld",2447371147,15,163158076
213,"Kurt Russell",2436863174,37,65861167
214,"Kate McKinnon",2429267319,8,303658415
215,"Lea Seydoux",2424714543,20,121235727
216,"Rami Malek",2407543852,11,218867623
217,"Amanda Seyfried",2405837486,26,92532211
218,"Jonah Hill",2401506465,20,120075323
219,"Billy Eichner",2398898209,4,599724552
220,"Zac Efron",2396616467,29,82641947
221,"Charlie Day",2393582983,10,239358298
222,"Anthony Daniels",2392532885,3,797510962
223,"Jack Nicholson",2389477590,30,79649253
224,"John Kani",2384066412,3,794688804
225,"Hugh Grant",2383904703,19,125468669
226,"Alan Rickman",2372606978,9,263622998
227,"Jesse Eisenberg",2349765456,26,90375594
228,"Jeff Bridges",2343686676,30,78122889
229,"Jason Bateman",2327150513,21,110816691
230,"Rowan Atkinson",2316891573,9,257432397
231,"Penélope Cruz",2302765294,25,92110612
232,"Steve Martin",2290544388,36,63626233
233,"Glen Powell",2285366372,16,142835398
234,"Martin Lawrence",2277422366,18,126523465
235,"David Spade",2253173128,15,150211542
236,"Stellan Skarsgård",2252688613,21,107270886
237,"John Cusack",2249636122,60,37493935
238,"Julie Walters",2220269800,12,185022483
239,"Dan Stevens",2213505246,17,130206191
240,"Annette Bening",2209915812,27,81848734
241,"Danny DeVito",2201018997,29,75897207
242,"Joaquin Phoenix",2187032029,20,109351601
243,"Wu Jing",2181977774,5,436395555
244,"Taron Egerton",2179538655,14,155681333
245,"Catherine Zeta-Jones",2164824276,19,113938120
246,"John C. Reilly",2158856737,20,107942837
247,"Billy Crystal",2151912678,16,134494542
248,"Rachel Weisz",2148804095,25,85952164
249,"America Ferrera",2142564325,8,267820541
250,"Kenneth Branagh",2140580623,17,125916507
251,"Karl Urban",2124949005,12,177079084
252,"Justin Long",2109652831,27,78135290
253,"Bill Hader",2107971695,11,191633790
254,"Demi Moore",2107822664,28,75279381
255,"Timothée Chalamet",2105474406,18,116970800
256,"Matthew Broderick",2105304280,19,110805488
257,"Eva Green",2105221490,19,110801131
258,"Melissa McCarthy",2083690222,19,109667906
259,"Benicio del Toro",2073459238,19,109129434
260,"Eric Andre",2065988991,5,413197798
261,"Forest Whitaker",2063458205,30,68781940
262,"Donald Glover",2058734578,5,411746916
263,"Andy Lau",2052318857,22,93287221
264,"Viola Davis",2047422803,16,127963925
265,"Michelle Williams",2046160160,21,97436198
266,"Holly Hunter",2038320137,9,226480015
267,"Jay Baruchel",2028491180,18,112693954
268,"Dolph Lundgren",2027352631,29,69908711
269,"Christopher Walken",2024165392,26,77852515
270,"Michael J. Fox",2008514788,21,95643561
271,"Jet Li",2007660666,15,133844044
272,"Renée Zellweger",2000526351,23,86979407
273,"Jennifer Lopez",1981787071,31,63928615
274,"Lü Yanting",1978579610,1,1978579610
275,"Wang Baoqiang",1977755522,10,197775552
276,"Luke Evans",1975465967,16,123466623
277,"Ellen DeGeneres",1973906048,4,493476512
278,"Tessa Thompson",1970670953,13,151590073
279,"Nathalie Emmanuel",1954936285,5,390987257
280,"Nick Jonas",1944104159,11,176736742
281,"Brendan Fraser",1935771397,20,96788570
282,"Dan Fogler",1927827258,9,214203029
283,"Riz Ahmed",1923112101,15,128207473
284,"Andy Samberg",1920263652,12,160021971
285,"Megan Fox",1908192201,18,106010678
286,"David Schwimmer",1907262116,5,381452423
287,"Will Arnett",1907255503,13,146711962
288,"Hayden Christensen",1906710393,13,146670030
289,"Florence Pugh",1905808895,12,158817408
290,"Simu Liu",1900258691,6,316709782
291,"Craig T. Nelson",1896240274,4,474060069
292,"Miles Teller",1893348052,19,99649897
293,"Daniel Kaluuya",1890222446,6,315037074
294,"Albert Brooks",1887215099,9,209690567
295,"Andy Garcia",1882855102,30,62761837
296,"Lewis James Pullman",1875802713,6,312633786
297,"Drew Barrymore",1874761768,31,60476186
298,"Sarah Vowell",1874246451,2,937123226
299,"Joseph Gordon-Levitt",1872124169,25,74884967
300,"T.J. Miller",1868545301,7,266935043
301,"Bill Nighy",1868432282,19,98338541
302,"Danny Ramirez",1867704004,3,622568001
303,"Alison Sudol",1867330568,3,622443523
304,"Liza Lapira",1858678211,3,619559404
305,"Auli'i Cravalho",1848397877,6,308066313
306,"Awkwafina",1847183272,18,102621293
307,"James Earl Jones",1844807762,5,368961552
308,"Susan Sarandon",1844103214,55,33529149
309,"Jeff Goldblum",1840009863,18,102222770
310,"Steve Buscemi",1836803755,22,83491080
311,"Seann William Scott",1834238110,18,101902117
312,"Jessica Alba",1827017922,20,91350896
313,"Bill Skarsgård",1823287843,15,121552523
