"","title","release_date","us_distributor","video_id","Unnamed..0","year"
"511","Exorcist: Believer, The","2023-10-05","Universal","PIxpPMyGcpU",11,2023
"512","To Catch a Killer","2023-10-05","Vertical Entertainment","DckI7n1_q2Q",12,2023
"513","57 Seconds","2023-10-12","Independent","L8XsJ4O1YJ0",16,2023
"514","Killers of the Flower Moon","2023-10-19","Paramount","7cx9nCHsemc",20,2023
"515","Perpetrator","2023-10-19","Independent","_KZLh-FXjKU",22,2023
"516","NYAD","2023-10-19","Netflix","3anCgVSQb3Q",23,2023
"517","Trolls Band Together","2023-10-26","Universal","qZ40Z62tcXM",24,2023
"518","Saw X","2023-10-26","Lionsgate","t3PzUo4P21c",25,2023
"519","Killer, The (2023)","2023-10-26","Netflix","5S7FR_HCg9g",28,2023
"520","Five Nights at Freddy's","2023-11-01","Universal","0VH9WCFV6XQ",29,2023
"521","Kandahar","2023-11-01","Open Road/Briarcliff","WHs6z9RPGtA",30,2023
"522","Marsh King's Daughter, The","2023-11-01","Roadside Attractions","FDnUVhLMqI0",31,2023
"523","She Came to Me","2023-11-01","Vertical Entertainment","ZCbiKiw-Azs",32,2023
"524","Marvels, The","2023-11-09","Disney","8NCsKgNcpEE",35,2023
"525","It Lives Inside","2023-11-09","Neon Rated","a5xUbuYHdi8",36,2023
"526","Hunger Games: The Ballad of Songbirds & Snakes, The","2023-11-16","Lionsgate","RDE6Uz73A7g",38,2023
"527","Freelance","2023-11-16","Emick","BrqWlOzm2Iw",39,2023
"528","Master Gardener","2023-11-16","Magnolia Pictures","ZzD5Rx-yhO8",40,2023
"529","Wish","2023-11-23","Disney","ctlz0R1tSZE",41,2023
"530","Napoleon","2023-11-23","Sony","OAZWXUkrjPc",42,2023
"531","Thanksgiving","2023-11-30","Sony","KbU50SdL8zA",43,2023
"532","May December","2023-11-30","Netflix","_2wg45bRRF8",44,2023
"533","Wonka","2023-12-07","Warner Bros.","otNh9bTjXWg",50,2023
"534","Hypnotic","2023-12-07","Emick","N-qn4h-amyY",1,2023
"535","Maestro","2023-12-07","Netflix","gJP2QblqLA0",4,2023
"536","Silent Night","2023-12-14","Lionsgate","yBnTqn0lBDA",6,2023
"537","All Fun and Games","2023-12-14","Vertical Entertainment","dI7n7So6sVA",7,2023
"538","Fool's Paradise","2023-12-14","Roadside Attractions","RaYKG5FMhNc",8,2023
"539","Aquaman and the Lost Kingdom","2023-12-21","Warner Bros.","UGc5Tzz19UY",9,2023
"540","Sound of Freedom","2023-12-21","Angel Studios","Rt0kp4VW1cI",10,2023
"541","It's a Wonderful Knife","2023-12-21","IFC Films","qs4EOJKfFeE",11,2023
"542","Anyone But You","2023-12-28","Sony","ESEc6W2h9_k",13,2023
"543","Next Goal Wins","2023-12-28","Searchlight","pRH5u5lpArQ",14,2023
"544","Ferrari","2024-01-04","Neon Rated","KZHxT2yb2cE",16,2024
"545","Night Swim","2024-01-04","Universal","pcSNqteCEtE",17,2024
"546","Mean Girls","2024-01-11","Paramount","fFtdbEgnUOk",20,2024
"547","Beekeeper, The","2024-01-18","Amazon MGM Studios","SzINZZ6iqxY",21,2024
"548","White Bird","2024-01-18","Lionsgate","aTTPea6gHh4",22,2024
"549","Poor Things","2024-01-25","Searchlight","_klfx5sGzFk",23,2024
"550","Beautiful Wedding","2024-01-25","Fathom Entertainment","xO1FZJQmiAo",24,2024
"551","Kill Room, The","2024-01-25","Blue Fox Entertainment","ORdhNaXSrGA",25,2024
"552","Retirement Plan, The","2024-01-25","Falling Forward Films","i2Xc4qq-5Ww",26,2024
"553","On Fire","2024-01-25","Cinedigm Entertainment","MyOjzLEnxk8",27,2024
"554","Argylle","2024-02-01","Universal","7mgu9mNZ8Hk",29,2024
"555","Supercell","2024-02-01","Independent","-22ISMHPK4A",30,2024
"556","Past Lives","2024-02-08","A24","kA244xewjcI",32,2024
"557","Color Purple, The","2024-02-08","Warner Bros.","wPwzBUui1GA",33,2024
"558","Consecration","2024-02-08","IFC Films","HRjG65M6L2c",34,2024
"559","Bob Marley: One Love","2024-02-14","Paramount","ajw425Kuvtw",35,2024
