Unnamed: 0,title,release_date,us_distributor,video_id
63,Godzilla vs. Kong,2021-05-06,Warner Bros.,odM92ap8_c0
64,"Unholy, The",2021-05-06,Sony,NmQiJPLYzPI
65,Promising Young Woman,2021-05-06,Focus Features,7i5kiFDunk8
66,No Man's Land (2020),2021-05-06,IFC Films,hMMD7J73oS8
67,Spiral (dir. Bousman),2021-05-13,Lionsgate,
68,Monster Hunter,2021-05-13,Sony,3od-kQMTZ9M
69,Those Who Wish Me Dead,2021-05-13,Warner Bros.,sV6VNNjBkcE
70,Minari,2021-05-13,A24,KQ0gFidlro8
71,Friendsgiving,2021-05-13,Eammon Films,Hf-efq9o3Nk
72,Peter Rabbit 2: The Runaway,2021-05-20,Sony,euGHcnyUo84
73,Wrath Of Man,2021-05-20,United Artists Releasing,EFYEni2gsK0
74,"United States vs. Billie Holiday, The",2021-05-20,,USi-ppCfxEA
75,Cruella,2021-05-27,Disney,gmRKv7n2If8
76,"Quiet Place Part II, A",2021-05-27,Paramount,BpdDN9d9Jio
77,Nobody,2021-05-27,Universal,-5X2pt95cIo
78,Blackbird (2020),2021-05-27,Fathom Entertainment,I9kb6ZJre78
79,Tesla,2021-05-27,IFC Films,e4U-23TOKms
80,"Conjuring: The Devil Made Me Do It, The",2021-06-03,Warner Bros.,h9Q4zZS2v1k
81,Spirit Untamed,2021-06-03,Universal,9jG1nnQGpdI
82,Vanquish,2021-06-03,Independent,fUElfp3DJ5Y
83,Synchronic,2021-06-03,"Well Go USA, Inc.",eLkbgpEQ14U
84,Be Natural: The Untold Story of Alice Guy-Blache,2021-06-03,Zeitgeist,ySkfSavijqo
85,"Lusty Men, The",2021-06-08,RKO Film,FwgUbokUfko
86,Chaos Walking,2021-06-10,Lionsgate,nRf4ZgzHoVw
87,In the Heights,2021-06-10,Warner Bros.,U0CL-ZSuCrQ
88,"Marksman, The",2021-06-10,Open Road/Briarcliff,lEBPNi4bEbc
89,Bon Jovi From Encore Nights,2021-06-10,Trafalgar Releasing,sZTx_iiP750
90,"Hustler, The (1961)",2021-06-15,20th Century Fox,KND8JCBtkbY
91,"Hitman's Wife's Bodyguard, The",2021-06-17,Lionsgate,9C0l31YcahQ
92,Extinct,2021-06-17,,bk0Q-zuUFfc
93,"Friend, The (2019)",2021-06-17,Gravitas Ventures,RIeGP8lTi-U
94,F9 The Fast Saga,2021-06-24,Universal,PC5blZ9n810
95,Female Trouble,2021-06-24,New Line Cinema,1U6660xHVJE
96,Fat City,2021-06-29,Columbia,PrfClhgXwNE
97,"Croods: A New Age, The",2021-07-01,Universal,XUN5EEDwHcI
98,"Ice Road, The",2021-07-01,,-zjikObAJHk
99,First Cow,2021-07-01,A24,SRUWVT87mt8
100,Four Good Days,2021-07-01,Vertical Entertainment,uDDCulgiqs4
