Unnamed: 0,title,release_date,us_distributor,video_id
39,Midnight in the Switchgrass,2021-09-16,Independent,1pNN66fRumw
40,Dreamland (2020),2021-09-16,Vertical Entertainment,agn4t4SOB_0
41,Till Death,2021-09-23,Screen Media Films,Wfmb1-UEpW4
42,Copshop,2021-09-23,Open Road/Briarcliff,ezHiQwwzEjU
43,No Time To Die,2021-09-30,United Artists Releasing,BIhNsAtPbPI
44,Songbird,2021-09-30,,IgxXSfto6Vo
45,Fatima,2021-10-07,Picturehouse Films,d1f_9_TGlpI
46,"Misfits, The",2021-10-07,Paramount,lxhMLjt83KQ
47,Run,2021-10-07,Independent,0Dhh7q9Us5c
48,Flag Day,2021-10-07,United Artists Releasing,2D-3fxTLmS8
49,Seder-Masochism,2021-10-11,,zTlkxGPRiPc
50,Venom: Let There Be Carnage,2021-10-14,Sony,-FmWuCgJmxo
51,Ron's Gone Wrong,2021-10-14,20th Century Studios,fCqGfjBSk0I
52,Ferdinand (2017) (re),2021-10-16,,oVQdZ2Ac6Hw
53,Sita Sings The Blues,2021-10-18,GKIDS,8pLtEbffdAM
54,Dune,2021-10-21,Warner Bros.,n9xhJrPXop4
55,Halloween Kills,2021-10-21,Universal,hL6R3HmQfPc
56,Ailey,2021-10-21,Neon Rated,PHcM4HJEgs4
57,"Addams Family 2, The",2021-10-28,United Artists Releasing,Kd82bSBDE84
58,"Last Duel, The",2021-10-28,20th Century Studios,mgygUwPJvYk
59,Last Night In Soho,2021-10-28,Focus Features,AcVnFrxjPjI
60,Mercy Black,2021-10-28,,BQHcRb1DMsQ
61,Eternals,2021-11-04,Disney,G54feZ72tuk
62,"Doors: Live at the Bowl '68 Special Edition, The",2021-11-04,Trafalgar Releasing,kWgXtsJzgZI
63,Red Notice,2021-11-04,Netflix,Pj0wz7zu3Ms
64,"French Dispatch, The",2021-11-11,Searchlight,TcPk2p0Zaw4
65,Antlers,2021-11-11,Searchlight,2aiYxwVuZ1o
66,"Doorman, The",2021-11-11,Independent,pugLE1ifvbY
67,King Richard,2021-11-18,Warner Bros.,BKP_0z52ZAw
68,"Card Counter, The",2021-11-18,Focus Features,7RvVT1cDiNc
69,Encanto,2021-11-25,Disney,CaimKeDcudo
70,House Of Gucci,2021-11-25,United Artists Releasing,pGi3Bgn7U5U
71,Ghostbusters: Afterlife,2021-11-25,Sony,ahZFCF--uRY
72,Sing 2,2021-12-01,Universal,EPZu5MA2uqI
73,West Side Story,2021-12-08,20th Century Studios,A5GJLwWiYSg
74,Pig,2021-12-08,Neon Rated,1i-_CRKdh4Y
75,Don't Look Up,2021-12-08,Netflix,RbIxYm3mKzI
76,"Kid, The (Dir. Chaplin)",2021-12-09,,89iqMJ2iiOI
77,TCM: West Side Story 60th Anniversary,2021-12-12,Fathom Entertainment,7CfPT9N9ZM0
78,Spider-Man: No Way Home,2021-12-16,Sony,JfVOs4VSpmA
79,Clifford The Big Red Dog,2021-12-16,Paramount,4zH5iYM4wJo
80,"Matrix Resurrections, The",2021-12-22,Warner Bros.,9ix7TUGVYIo
81,"King's Man, The",2021-12-22,20th Century Studios,5zdBG-iGfes
82,Double Play: James Benning and Richard Linklater,2021-12-30,,eU9jE0RVWI0
83,"Hating Game, The",2022-01-06,Vertical Entertainment,j3qBGOD4b4A
84,Out of Death,2022-01-06,Vertical Entertainment,UlA_achIbk4
85,13 Minutes,2022-01-13,Amor Media,YiEFZLRyRQo
86,Punch-Drunk Love (2002) (re),2022-01-13,Independent,QcGzJ6ppIso
87,Scream,2022-01-20,Paramount,beToTslH17s
88,Arctic Dogs,2022-01-20,Entertainment Studios Motion Pictures,KppQoNsD5qY
89,Penguin Bloom,2022-01-20,,q7eZEZHRrVg
90,Nightmare Alley,2022-01-27,Searchlight,Q81Yf46Oj3s
91,"355, The",2022-01-27,Universal,SV0s2S9reT0
92,"Last Picture Show, The",2022-01-27,Columbia,Z1-GbAL5dAI
93,Swallow,2022-01-27,IFC Films,CUpMcNIY5ms
94,Paper Moon,2022-01-27,Paramount,tYBs63-mArU
95,"What's Up, Doc?",2022-01-27,Warner Bros.,UhK8O6It_3U
96,Torn,2022-01-28,National Geographic Entertainment,w916HoOtSoE
97,"Stranger, The (1946)",2022-01-28,RKO Film,zubpk4o5lLQ
98,Moonfall,2022-02-03,Lionsgate,ivIwdQBlS10
99,"Lost Daughter, The (2021)",2022-02-03,Netflix,xNq9YOfL0Zs
100,"Boy Behind the Door, The",2022-02-03,,3HEmC-ASveA
